City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Osypenko,UA,2022-01-31 01:50:18,46.9136,36.8253,32.85,92,100,12.39
68,Mar Del Plata,AR,2022-01-31 01:48:53,-38.0023,-57.5575,67.87,76,100,13.0
69,Hovd,MN,2022-01-31 01:50:18,48.0056,91.6419,-14.19,80,37,2.04
70,Ngong,KE,2022-01-31 01:50:19,-1.3618,36.6566,60.53,88,75,5.75
71,East London,ZA,2022-01-31 01:47:54,-33.0153,27.9116,73.2,85,100,13.2
72,Nhulunbuy,AU,2022-01-31 01:50:19,-12.2333,136.7667,84.81,79,75,16.11
73,Vaini,TO,2022-01-31 01:49:06,-21.2,-175.2,81.37,71,100,12.3
74,Burnie,AU,2022-01-31 01:47:36,-41.0667,145.9167,73.94,70,64,5.91
75,Khatanga,RU,2022-01-31 01:50:19,71.9667,102.5,-6.09,98,98,8.46
76,Miri,MY,2022-01-31 01:50:20,4.4148,114.0089,78.94,89,20,5.75
77,Samarai,PG,2022-01-31 01:50:20,-10.6167,150.6667,84.09,68,100,12.57
78,Kavaratti,IN,2022-01-31 01:50:21,10.5669,72.642,81.25,72,3,7.07
79,Sao Filipe,CV,2022-01-31 01:50:21,14.8961,-24.4956,71.38,71,100,11.01
80,Kalmunai,LK,2022-01-31 01:50:21,7.4167,81.8167,77.43,84,44,5.06
81,Balikpapan,ID,2022-01-31 01:47:21,-1.2675,116.8289,79.79,83,20,5.75
82,Tecoanapa,MX,2022-01-31 01:50:21,16.5167,-98.75,79.83,73,45,4.65
83,Bredasdorp,ZA,2022-01-31 01:50:07,-34.5322,20.0403,72.28,88,100,6.91
84,Luau,AO,2022-01-31 01:50:22,-10.7073,22.2247,61.99,96,99,3.24
85,Asau,RO,2022-01-31 01:49:18,46.4333,26.4,33.28,72,71,14.5
86,Aldan,RU,2022-01-31 01:50:22,58.6031,125.3894,-8.21,97,100,2.3
87,Portland,US,2022-01-31 01:48:10,45.5234,-122.6762,51.73,91,100,1.99
88,Roros,NO,2022-01-31 01:50:23,62.5747,11.3842,17.44,93,100,5.75
89,Puerto Ayora,EC,2022-01-31 01:49:05,-0.7393,-90.3518,73.35,84,100,5.03
90,Rujewa,TZ,2022-01-31 01:51:23,-8.7,34.3833,61.41,93,74,2.93
91,Zhigansk,RU,2022-01-31 01:49:10,66.7697,123.3711,-32.55,100,96,0.78
92,Tondano,ID,2022-01-31 01:51:24,1.3038,124.9112,78.89,60,90,6.22
93,Smithers,CA,2022-01-31 01:50:15,54.7804,-127.1743,30.52,80,75,4.61
94,Sosva,RU,2022-01-31 01:51:24,59.1766,61.8558,4.39,97,100,2.3
95,Clyde River,CA,2022-01-31 01:51:24,70.4692,-68.5914,-23.57,76,0,4.61
96,Hambantota,LK,2022-01-31 01:51:24,6.1241,81.1185,73.74,100,20,4.61
97,Kawalu,ID,2022-01-31 01:51:25,-7.3817,108.2082,81.43,75,97,0.27
98,Salinopolis,BR,2022-01-31 01:51:25,-0.6136,-47.3561,77.52,87,99,8.7
99,Yellowknife,CA,2022-01-31 01:49:09,62.456,-114.3525,-8.59,87,75,6.91
100,Nizhniy Kislyay,RU,2022-01-31 01:51:25,50.8497,40.1719,31.53,94,100,14.7
101,Antalaha,MG,2022-01-31 01:51:26,-14.9003,50.2788,75.04,86,14,7.07
102,Kapaa,US,2022-01-31 01:48:21,22.0752,-159.319,80.47,67,20,1.99
103,Vrangel,RU,2022-01-31 01:51:26,42.7297,133.0839,16.52,51,3,10.29
104,Atuona,PF,2022-01-31 01:50:29,-9.8,-139.0333,78.33,75,21,17.18
105,Saint-Philippe,RE,2022-01-31 01:51:03,-21.3585,55.7679,74.79,86,65,11.14
106,Georgetown,MY,2022-01-31 01:51:26,5.4112,100.3354,82.33,88,20,1.99
107,Ponta Delgada,PT,2022-01-31 01:51:27,37.7333,-25.6667,59.72,72,20,17.27
108,Urusha,RU,2022-01-31 01:51:27,54.05,122.9,0.95,71,90,3.96
109,Taltal,CL,2022-01-31 01:50:10,-25.4,-70.4833,65.97,77,16,4.25
110,Arraial Do Cabo,BR,2022-01-31 01:48:50,-22.9661,-42.0278,74.89,94,100,6.78
111,Provideniya,RU,2022-01-31 01:49:25,64.3833,-173.3,10.51,67,0,22.37
112,Moron,AR,2022-01-31 01:51:27,-34.6534,-58.6198,80.98,57,7,4.99
113,Gazanjyk,TM,2022-01-31 01:51:28,39.2446,55.5154,40.46,62,26,2.82
