City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Tuatapere,NZ,-46.1333,167.6833,51.82,79,100,7.29,overcast clouds
150,Yeppoon,AU,-23.1333,150.7333,69.58,75,87,16.84,overcast clouds
151,Sirjan,IR,29.452,55.6814,49.01,64,67,4.41,broken clouds
152,Linxia,CN,35.6003,103.2064,12.16,68,1,6.13,clear sky
153,Saldanha,ZA,-33.0117,17.9442,66.81,84,100,13.96,overcast clouds
154,Sitka,US,57.0531,-135.33,42.69,81,100,13.8,overcast clouds
155,Nacala,MZ,-14.5428,40.6728,76.87,85,29,0.78,scattered clouds
156,Eureka,US,40.8021,-124.1637,69.21,66,0,1.99,clear sky
157,Port Lincoln,AU,-34.7333,135.8667,68.95,58,99,8.08,overcast clouds
158,Filadelfia,US,39.9523,-75.1638,61.14,41,40,19.57,scattered clouds
159,Berlevag,NO,70.8578,29.0864,24.8,80,77,19.75,broken clouds
160,Lompoc,US,34.6391,-120.4579,85.59,20,0,6.91,clear sky
161,Pisco,PE,-13.7,-76.2167,76.01,60,0,11.5,clear sky
162,Half Moon Bay,US,37.4636,-122.4286,75.61,55,0,4.61,clear sky
163,Olafsvik,IS,64.8945,-23.7142,26.69,71,41,19.6,scattered clouds
164,Solnechnyy,RU,50.7214,136.6319,10.09,93,100,7.14,light snow
165,Avarua,CK,-21.2078,-159.775,80.65,78,100,3.44,overcast clouds
166,Ancud,CL,-41.8697,-73.8203,79.23,61,84,5.23,broken clouds
167,Christchurch,NZ,-43.5333,172.6333,50.95,90,75,11.5,light rain
168,Nola,IT,40.922,14.5329,54.36,64,12,11.99,few clouds
169,Sacaseni,RO,47.4833,22.6833,32.34,62,0,2.71,clear sky
170,Jurm,AF,36.8648,70.8342,33.91,83,100,1.39,overcast clouds
171,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-5.21,77,75,4.47,broken clouds
172,Bakersfield,US,35.3733,-119.0187,79.45,38,0,5.75,haze
173,Katsuura,JP,35.1333,140.3,39.31,58,39,4.18,scattered clouds
174,Rovaniemi,FI,66.5,25.7167,2.61,92,75,2.3,broken clouds
175,Jacareacanga,BR,-6.2222,-57.7528,82.2,89,100,0.87,moderate rain
176,Nanortalik,GL,60.1432,-45.2371,30.4,97,100,6.31,light snow
177,Sydney,AU,-33.8679,151.2073,67.3,87,75,6.91,broken clouds
178,Oktyabrskiy,RU,54.4815,53.471,25.25,93,100,7.85,overcast clouds
179,Novoagansk,RU,61.9449,76.6625,-4.92,94,6,10.16,clear sky
180,Kapuskasing,CA,49.4169,-82.4331,-7.51,59,20,5.75,few clouds
181,Boden,SE,65.8252,21.6886,1.4,100,67,0.98,broken clouds
182,Souillac,MU,-20.5167,57.5167,80.98,83,40,6.91,light rain
183,Aransas Pass,US,27.9095,-97.15,69.89,72,40,25.32,scattered clouds
184,Hurricane,US,37.1753,-113.2899,64.74,17,2,3.0,clear sky
185,Tasiilaq,GL,65.6145,-37.6368,10.56,65,100,3.67,overcast clouds
186,Xining,CN,36.6167,101.7667,12.15,68,100,1.95,overcast clouds
187,Hamilton,US,39.1834,-84.5333,31.98,79,100,12.66,overcast clouds
188,Kaniama,CD,-7.5667,24.1833,67.03,93,91,1.43,light rain
189,Klaksvik,FO,62.2266,-6.589,38.32,88,100,9.86,overcast clouds
190,Tuscaloosa,US,33.2098,-87.5692,68.9,45,0,11.5,clear sky
191,Hami,CN,42.8,93.45,28.33,52,80,1.21,broken clouds
192,Leningradskiy,RU,69.3833,178.4167,-19.64,97,98,4.43,overcast clouds
193,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,82,40,14.97,scattered clouds
194,Vryheid,ZA,-27.7695,30.7917,64.44,63,1,5.32,clear sky
195,Constantine,DZ,36.365,6.6147,45.81,81,40,3.44,scattered clouds
196,Zapolyarnyy,RU,69.4154,30.8136,2.48,96,18,5.95,few clouds
197,Talara,PE,-4.5772,-81.2719,84.96,51,0,12.66,clear sky
198,Mantua,IT,45.1667,10.7833,44.91,64,3,4.29,clear sky
199,Placerville,US,38.7296,-120.7986,77.54,30,0,5.75,clear sky
200,Mugango,TZ,-1.6833,33.7,70.11,76,100,5.39,light rain
201,Qaqortoq,GL,60.7167,-46.0333,30.7,98,100,0.94,snow
202,Yellowknife,CA,62.456,-114.3525,-13.72,80,20,3.44,few clouds
203,Kampong Chhnang,KH,12.1667,104.55,77.95,76,79,6.04,broken clouds
204,Nome,US,64.5011,-165.4064,1.47,55,100,0.0,overcast clouds
205,Voh,NC,-20.9667,164.7,76.15,90,100,2.08,overcast clouds
206,Kabanjahe,ID,3.1001,98.4908,65.16,96,90,1.14,overcast clouds
207,Lorengau,PG,-2.0226,147.2712,80.58,76,100,3.51,overcast clouds
208,Diamantino,BR,-14.4086,-56.4461,82.26,79,96,3.29,overcast clouds
209,Luderitz,NA,-26.6481,15.1594,73.58,70,3,7.18,clear sky
210,Broome,US,42.2506,-75.833,43.21,61,75,14.97,broken clouds
211,Grand Gaube,MU,-20.0064,57.6608,81.0,84,8,3.0,clear sky
212,Dikson,RU,73.5069,80.5464,-2.11,77,100,27.42,overcast clouds
213,Port Hardy,CA,50.6996,-127.4199,43.75,100,75,3.44,broken clouds
214,Zykovo,RU,55.9519,93.1461,-15.02,100,90,2.57,overcast clouds
215,Tecoanapa,MX,16.5167,-98.75,83.03,50,100,8.84,overcast clouds
216,Barcelos,PT,41.5388,-8.6151,53.92,92,34,2.89,scattered clouds
217,Angoche,MZ,-16.2325,39.9086,78.39,87,91,6.17,light rain
218,Dunkwa,GH,5.9656,-1.78,78.55,74,44,2.84,moderate rain
219,Puerto Carreno,CO,6.189,-67.4859,94.98,36,20,6.91,few clouds
